CUST_ORDER_ID,LINE_NO,PART_ID,CUSTOMER_PART_ID,UNIT_PRICE,WIP_VAS_UNIT_PRICE,ACCEPT_EARLY,DAYS_EARLY,ORDER_TYPE,LINE_STATUS,ORDER_QTY,USER_ORDER_QTY,SELLING_UM,DESIRED_SHIP_DATE,HTS_CODE,TRADE_DISC_PERCENT,EST_FREIGHT,COMMISSION_PCT,SALES_TAX_GROUP_ID,MISC_REFERENCE,PRODUCT_CODE,COMMODITY_CODE,DRAWING_ID,DRAWING_REV_NO,GL_REVENUE_ACCT_ID,MAT_GL_ACCT_ID,LAB_GL_ACCT_ID,BUR_GL_ACCT_ID,SER_GL_ACCT_ID,LAST_SHIPPED_DATE,TOTAL_ACT_FREIGHT,TOTAL_SHIPPED_QTY,TOTAL_USR_SHIP_QTY,TOTAL_AMT_SHIPPED,TOTAL_AMT_ORDERED,PROMISE_DATE,SERVICE_CHARGE_ID,PIECE_COUNT,LENGTH,WIDTH,HEIGHT,DIMENSIONS_UM,VAT_CODE,EDI_BLANKET_QTY,EDI_BLANKET_USRQTY,EDI_ACCUM_QTY_REL,EDI_ACCUM_USR_REL,EDI_ACCUM_QTY_REC,EDI_ACCUM_USR_REC,EDI_LAST_REC_DATE,EDI_RELEASE_NO,EDI_RELEASE_DATE,EDI_QTY_RELEASED,EDI_USR_QTY_REL,EDI_REQ_REL_DATE,SHIPTO_ID,WAREHOUSE_ID,ORIG_COUNTRY_ID,TYPE,ALLOCATED_QTY,FULFILLED_QTY,EDI_ACCUM_FAB_QTY,EDI_ACCUM_RAW_QTY,EDI_LAST_SHIPDATE,EDI_ACCUM_SHIP_QTY,ACK_ID,EDI_ACCUM_SHIP_ADJ,USER_1,USER_2,USER_3,USER_4,USER_5,USER_6,USER_7,USER_8,USER_9,USER_10,UDF_LAYOUT_ID,SEND_ACK,VAT_CATEGORY,ITA_SPECIAL_CHARGE
D-00015,1,23535,,0,0,Y,9999,,A,990,990,KG,,,0,0,,,PVH M S/A S/P 30 KG,PROTEINAS,,,,,,,,,21-Dec-01,0,990,990,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00016,1,23844,,0,0,Y,9999,,A,2010,2010,KG,,,0,0,,,PVH 2000,PROTEINAS,,,,,,,,,09-Jan-02,0,2010,2010,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00017,1,25866,,0,0,Y,9999,,A,2494.8,2494.8,KG,,,0,0,,,HARINA SOYA DESG. S/P 22.68 KG,HARINA,,,,,,,,,10-Jan-02,0,2494.8,2494.8,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00018,1,23844,,0,0,Y,9999,,A,1740,1740,KG,,,0,0,,,PVH 2000,PROTEINAS,,,,,,,,,30-Jan-02,0,1740,1740,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
P06218,1,23844,,40.8,0,Y,9999,,A,90,90,KG,,,0,0,,,PVH 2000 S/A S/P 30 KG.,PVH,Savory,,,,,,,,17-Sep-12,0,90,90,3672,3672,,,,,,,,IVA,,,,,,,,,,,,,,ALM-GENERAL,,,0,0,,,,,,,,,,,,,,,,,,,,
P06216,1,RG1510,,451,0,Y,9999,,A,10,10,PZA,,,0,0,,,ACEITE AVE (CAJA 2 BIDONES DE 10 L C/U),ACEITES,Food Service,,,,,,,,14-Sep-12,0,10,10,4510,4510,,,,,,,,IVA0,,,,,,,,,,,,,,ALM-BT,,,0,0,,,,,,,,,,,,,,,,,,,,
P06220,1,RG1510,,460,0,Y,9999,,A,3,3,PZA,,,0,0,,,ACEITE AVE (CAJA 2 BIDONES DE 10 L C/U),ACEITES,Food Service,,,,,,,,17-Sep-12,0,3,3,1380,1380,,,,,,,,IVA0,,,,,,,,,,,,,,ALM-BT,,,0,0,,,,,,,,,,,,,,,,,,,,
D-00019,1,23844,,0,0,Y,9999,,A,1800,1800,KG,,,0,0,,,PVH 2000,PROTEINAS,,,,,,,,,12-Jan-02,0,1800,1800,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,FAC-1649,,,,,,,,,,,Y,,
D-00020,1,23844,,0,0,Y,9999,,A,1200,1200,KG,,,0,0,,,PVH 2000,PROTEINAS,,,,,,,,,12-Jan-02,0,1200,1200,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,FAC-VARIAS 2001,,,,,,,,,,,Y,,
P06219,1,23844,,39.95,0,Y,9999,,A,120,120,KG,,,0,0,,,PVH 2000 S/A S/P 30 KG.,PVH,Savory,,,,,,,,17-Sep-12,0,120,120,4794,4794,,,,,,,,IVA,,,,,,,,,,,,,,ALM-GENERAL,,,0,0,,,,,,,,,,,,,,,,,,,,
D-00021,1,23844,,0,0,Y,9999,,A,1020,1020,KG,,,0,0,,,PVH 2000,PROTEINAS,,,,,,,,,12-Jan-02,0,1020,1020,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,FAC-1755,,,,,,,,,,,Y,,
D-00022,1,23535,,0,0,Y,9999,,A,2490,2490,KG,,,0,0,,,PVH M S/A S/P 30 KG,PROTEINAS,,,,,,,,,11-Jan-02,0,2490,2490,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,FAC-1751,,,,,,,,,,,Y,,
D-00029,1,25767,,0,0,Y,9999,,A,990,990,KG,,,0,0,,,PROLAC AEF S/P 30 KGS.,PROTEINAS,,,,,,,,,23-Jan-02,0,990,990,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00024,1,25572,,0,0,Y,9999,,A,2150,2150,KG,,,0,0,,,PROLAC DD 126 4H (S/P 25 KGS),PROTEINAS,,,,,,,,,15-Jan-02,0,2150,2150,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00030,1,23844,,0,0,Y,9999,,A,2010,2010,KG,,,0,0,,,PVH 2000,PROTEINAS,,,,,,,,,23-Jan-02,0,2010,2010,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00031,1,25866,,0,0,Y,9999,,A,2494.8,2494.8,KG,,,0,0,,,HARINA SOYA DESG. S/P 22.68 KG,HARINA,,,,,,,,,25-Jan-02,0,2494.8,2494.8,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00032,1,23844,,0,0,Y,9999,,A,1980,1980,KG,,,0,0,,,PVH 2000,PROTEINAS,,,,,,,,,26-Jan-02,0,1980,1980,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
P00019,1,,,100,0,Y,9999,,A,1,1,,,,0,0,,,Almacenaje,ALMACENAJE,,,,,,,,,,0,0,0,0,100,,ALMACENAJE,,,,,,IVA,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,Y,,
P00019,2,,,350,0,Y,9999,,A,1,1,,,,0,0,0,,Viajes por Transportación de Productos,FLETES,,,,5000-000-001,,,,,,0,0,0,0,350,,FLETES,,,,,,IVA,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,Y,,
P00020,1,,,1000,0,Y,9999,,A,1,1,,,,0,0,,,Almacenaje Minimo Global,ALMACENAJE,,,,,,,,,28-Jan-02,0,1,1,1000,1000,,ALM01,,,,,,IVA,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,Y,,
P00020,2,,,2860.44,0,Y,9999,,A,1,1,,,,0,0,,,Almacenaje por Tonelaje,ALMACENAJE,,,,,,,,,28-Jan-02,0,1,1,2860.44,2860.44,,ALM02,,,,,,IVA,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,Y,,
P00020,3,,,2666.17,0,Y,9999,,A,1,1,,,,0,0,,,Manejo y Maniobras de Productos,MANIOBRAS,,,,5000-000-030,,,,,28-Jan-02,0,1,1,2666.17,2666.17,,MANMB,,,,,,IVA,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,Y,,
P00020,4,,,2310,0,Y,9999,,A,1,1,,,,0,0,0,,Viajes Primer Destino,FLETES,,,,5000-000-001,,,,,28-Jan-02,0,1,1,2310,2310,,FLT01,,,,,,IVA,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,Y,,
P00020,5,,,270,0,Y,9999,,A,1,1,,,,0,0,0,,Viajes Destino Adicional,FLETES,,,,5000-000-001,,,,,28-Jan-02,0,1,1,270,270,,FLT02,,,,,,IVA,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,Y,,
P00020,6,,,1000,0,,,,A,1,1,,,,0,0,,,Almacenaje Minimo Global,ALMACENAJE,,,,,,,,,28-Jan-02,0,1,1,1000,1000,,ALM01,,,,,,IVA,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,Y,,
P00020,7,,,2855.21,0,,,,A,1,1,,,,0,0,,,Almacenaje por Tonelaje,ALMACENAJE,,,,,,,,,28-Jan-02,0,1,1,2855.21,2855.21,,ALM02,,,,,,IVA,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,Y,,
P00020,8,,,1464.25,0,,,,A,1,1,,,,0,0,,,Manejo y Maniobras de Productos,MANIOBRAS,,,,5000-000-030,,,,,28-Jan-02,0,1,1,1464.25,1464.25,,MANMB,,,,,,IVA,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,Y,,
P00020,9,,,3300,0,,,,A,1,1,,,,0,0,0,,Viajes Primer Destino,FLETES,,,,5000-000-001,,,,,28-Jan-02,0,1,1,3300,3300,,FLT01,,,,,,IVA,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00033,1,24530,,0,0,Y,9999,,A,226.8,226.8,KG,,,0,0,,,DELTAROME 2300,PROTEINAS,,,,,,,,,29-Jan-02,0,226.8,226.8,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00034,1,23844,,0,0,Y,9999,,A,1260,1260,KG,,,0,0,,,PVH 2000,PROTEINAS,,,,,,,,,29-Jan-02,0,1260,1260,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,FAC-1689/3,,,,,,,,,,,Y,,
D-00036,1,25572,,0,0,Y,9999,,A,2150,2150,KG,,,0,0,,,PROLAC DD 126 4H (S/P 25 KGS),PROTEINAS,,,,,,,,,30-Jan-02,0,2150,2150,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00037,1,25767,,0,0,Y,9999,,A,990,990,KG,,,0,0,,,PROLAC AEF S/P 30 KGS.,PROTEINAS,,,,,,,,,30-Jan-02,0,990,990,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00038,1,24530,,0,0,Y,9999,,A,158.76,158.76,KG,,,0,0,,,DELTAROME 2300,PROTEINAS,,,,,,,,,29-Jan-02,0,158.76,158.76,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00039,1,25866,,0,0,Y,9999,,A,2494.8,2494.8,KG,,,0,0,,,HARINA SOYA DESG. S/P 22.68 KG,HARINA,,,,,,,,,01-Feb-02,0,2494.8,2494.8,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
P00021,1,,,330,0,Y,9999,,A,15,15,,,,0,0,0,,Viajes a Primer Destino,FLETES,,,,5000-000-001,,,,,02-Feb-02,0,15,15,4950,4950,,FLT01,,,,,,IVA,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,Y,,
P00021,2,,,3821.37,0,Y,9999,,A,1,1,,,,0,0,,,Almacenaje por Toneladas,ALMACENAJE,,,,5000-000-020,,,,,02-Feb-02,0,1,1,3821.37,3821.37,,ALM02,,,,,,IVA,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,Y,,
P00021,3,,,1000,0,Y,9999,,A,1,1,,,,0,0,,,Almacenaje Mínimo Global,ALMACENAJE,,,,5000-000-020,,,,,02-Feb-02,0,1,1,1000,1000,,ALM01,,,,,,IVA,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,Y,,
P00021,4,,,2486.37,0,Y,9999,,A,1,1,,,,0,0,,,Maniobras y Manejo de Productos,MANIOBRAS,,,,5000-000-010,,,,,02-Feb-02,0,1,1,2486.37,2486.37,,MANMB,,,,,,IVA,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,Y,,
P00022,1,2322092,,5.8,0,Y,9999,,A,100,100,KG,,,0,0,,,SOSA CAUSTICA EN ESCAMAS S/25 KGK,,,,,,,,,,04-Feb-02,0,100,100,580,580,,,,,,,,IVA,,,,,,,,,,,,,,,,,0,0,,,,,,,0003,,,,,,,,,,,Y,,
D-00040,1,23844,,0,0,Y,9999,,A,5010,5010,KG,,,0,0,,,PVH 2000,PROTEINAS,,,,,,,,,06-Feb-02,0,5010,5010,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,1410,1410,,,,,,,,,,,,,,,,,,Y,,
D-00041,1,25572,,0,0,Y,9999,,A,1750,1750,KG,,,0,0,,,PROLAC DD 126 4H (S/P 25 KGS),PROTEINAS,,,,,,,,,04-Feb-02,0,1750,1750,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
P00023,1,511075,,12.5,0,Y,9999,,A,35.6,35.6,KG,,,0,0,,,SORBEX 70 USP T/P 270,,,,,,,,,,08-Feb-02,0,35.6,35.6,445,445,,,,,,,,IVA,,,,,,,,,,,,,,ALM-GENERAL,,,0,0,,,,,,,00004,,,,,,,,,,,Y,,
D-00042,1,23535,,0,0,Y,9999,,A,2010,2010,KG,,,0,0,,,PVH M S/A S/P 30 KG,PROTEINAS,,,,,,,,,08-Feb-02,0,2010,2010,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00043,1,23844,,0,0,Y,9999,,A,3000,3000,KG,,,0,0,,,PVH 2000,PROTEINAS,,,,,,,,,08-Feb-02,0,3000,3000,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
P00024,1,23844,,18.91,0,Y,9999,,A,1020,1020,KG,,,0,0,,,PVH 2000,PROTEINAS,,,,1234,,,,,14-Feb-02,0,1020,1020,19288.2,19288.2,,,,,,,,IVA,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,0005,,,,,,,,,,,Y,,
D-00044,1,25767,,0,0,Y,9999,,A,990,990,KG,,,0,0,,,PROLAC AEF S/P 30 KGS.,PROTEINAS,,,,,,,,,12-Feb-02,0,990,990,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,FAC-1925,,,,,,,,,,,Y,,
T00001,1,23796,,0,0,Y,9999,,A,68.04,68.04,KG,,,0,0,,,PVH CS,PROTEINAS,,,,,,,,,13-Feb-02,0,22.68,22.68,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
P00025,1,23796,,36.59,0,Y,9999,,A,68.04,68.04,KG,,,0,0,,,PVH CS,PROTEINAS,,,,,,,,,13-Feb-02,0,22.68,22.68,829.86,2489.58,,,,,,,,IVA,,,,,,,,,,,,,,ALM-GENERAL,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00045,1,23535,,0,0,Y,9999,,A,1500,1500,KG,,,0,0,,,PVH M S/A S/P 30 KG,PROTEINAS,,,,,,,,,14-Feb-02,0,1500,1500,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
P00026,1,25834,,122.83,0,Y,9999,,A,120,120,KG,,,0,0,,,PROLAC 200 S/P 20 KGS,PROTEINAS,,,,,,,,,,0,0,0,0,14739.6,,,,,,,,IVA,,,,,,,,,,,,,,ALM-GENERAL,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00046,1,25572,,0,0,Y,9999,,A,1750,1750,KG,,,0,0,,,PROLAC DD 126 4H (S/P 25 KGS),PROTEINAS,,,,,,,,,15-Feb-02,0,1750,1750,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
D-00047,1,25834,,0,0,Y,9999,,A,120,120,KG,,,0,0,,,PROLAC 200 S/P 20 KGS,PROTEINAS,,,,,,,,,15-Feb-02,0,120,120,0,0,,,,,,,,,,,,,,,,,,,,,,SENSIENT,,,0,0,,,,,,,,,,,,,,,,,,Y,,
SRV-003,1,,,1000,0,Y,9999,,A,1,1,,,,0,0,,,Almacenaje Minimo Global,ALMACENAJE,,,,,,,,,16-Feb-02,0,1,1,1000,1000,,ALM01,,,,,,IVA,,,,,,,,,,,,,,,,,0,0,,,,,,,0008,,,,,,,,,,,Y,,
SRV-003,2,,,3633.11,0,Y,9999,,A,1,1,,,,0,0,,,Almacenaje por Toneladas,ALMACENAJE,,,,,,,,,16-Feb-02,0,1,1,3633.11,3633.11,,ALM02,,,,,,IVA,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,Y,,
